Name of the Place,Type of Place,Latitude,Longitude,,,,,
Aavin,Office,13.45498907,77.12275104,,,,,
Aban Offshore,Office,13.34793272,78.71298409,,,,,
Aban Offshore,Petrol pump,12.23070646,78.20708142,,,,,
Accel Transmatic,Office,10.29360831,78.28834965,,,,,
Adarsh Vidyalaya,School,15.06201037,78.03216953,,,,,
Adyar Ananda Bhavan,Office,11.43956485,77.2545691,,,,,
Ahmedabad One,Others,12.69110306,77.25947002,,,,,
Akshar Arbol International School,School,15.76847944,78.65410382,,,,,
AlphaOne Mall,Others,12.03129821,78.20485795,,,,,
Amalgamations Group,Office,16.76697077,77.07671979,,,,,
Aman Petrol Station,Petrol pump,10.95338524,78.65326318,,,,,
Amara Muzik,Office,13.94756084,78.42727131,,,,,
Amco Batteries,Office,15.01737081,77.27388996,,,,,
American International School Chennai,School,12.29345667,78.14942318,,,,,
AMM Matriculation Higher Secondary School,School,13.30848329,78.12982394,,,,,
Amrutanjan Healthcare,Office,16.34931188,77.19497835,,,,,
Amulya Petrol Station,Petrol pump,13.78978965,77.97765888,,,,,
Anabond,Office,12.40154914,77.15413416,,,,,
Ananda Vikatan,Office,12.89124553,77.03024511,,,,,
Anjappar Chettinad Restaurant,Office,13.86386624,77.78023708,,,,,
Apollo Hospitals,Office,13.95642405,77.95265374,,,,,
Arogyam Petrol Station,Petrol pump,10.82276054,78.21563818,,,,,
Aroma Petrol Station,Petrol pump,13.18775296,77.75715382,,,,,
Asan Memorial Senior Secondary School,School,10.97019984,77.31231217,,,,,
Ashok Leyland,Office,12.36678831,78.51762868,,,,,
Ashok Leyland Defence Systems,Office,10.73710856,77.09909415,,,,,
Babaji Vidhyashram,School,15.63738193,77.83444159,,,,,
Bamini,Office,15.09410186,78.8535962,,,,,
Bank of Chettinad,Office,11.61884895,77.14141289,,,,,
Bank of Madras,Office,10.74970559,78.51320866,,,,,
Bank of Madura,Office,14.10151342,77.49308864,,,,,
BankBazaar,Office,14.2183805,78.53499819,,,,,
Basin Bridge Gas Turbine Power Station,Office,15.09246774,77.43605425,,,,,
"Bentinck School, Vepery",School,12.1624509,77.28203689,,,,,
BGR Energy Systems Ltd,Office,10.40956682,78.86364782,,,,,
Bharat Overseas Bank,Office,12.47746282,78.51776971,,,,,
Bharat Petroleum,Petrol pump,12.63018134,78.43135198,,,,,
BharatBenz,Office,16.00386118,78.98188298,,,,,
Bharath senior secondary school,School,15.37411939,77.05238252,,,,,
Bharathi Puthakalayam,Office,12.4684282,77.13010957,,,,,
BHAVINI,Office,12.76795377,77.61099865,,,,,
Bhawani Mall,Others,14.12763476,78.09537807,,,,,
Binny and Co.,Office,14.67617444,77.66141313,,,,,
Blue Dart Aviation,Office,12.87721381,78.91997776,,,,,
Blue Dart Express,Office,12.07068044,77.8658782,,,,,
BMW India,Office,16.87464051,77.76283338,,,,,
Bongaigaon Refinery and Petrochemicals,Petrol pump,16.50254859,77.3044127,,,,,
Bovonto,Office,16.36847384,77.68194797,,,,,
Buckingham and Carnatic Mills,Office,15.95394724,77.99660646,,,,,
Business Line,Office,14.07498027,77.42835988,,,,,
C.S.I. Bain Matriculation Higher Secondary School,School,16.54475074,77.37511935,,,,,
