Neighborhood location,Latitude,Longitude
Adambakkam,12.80208,77.01361
Adyar,10.36934,77.44018
Alandur,11.86331,77.98423
Alapakkam,16.75254,78.08717
Alwarpet,10.24068,78.82594
Alwarthirunagar,14.31992,77.67651
Ambattur,15.60714,77.24921
Aminjikarai,12.47913,77.21502
Anna Nagar,15.20593,77.4858
Annanur,15.59708,78.7907
Arumbakkam,15.25872,78.24754
Ashok Nagar,11.57055,78.7764
Avadi,12.21563,78.99931
Ayanavaram,13.54762,77.61998
Besant Nagar,10.27383,78.16746
Basin Bridge,16.98263,78.66912
Chepauk,14.60056,77.12942
Chetput,11.68193,77.78686
Chintadripet,16.36302,78.50726
Chitlapakkam,10.22278,78.62786
Choolai,14.65206,78.88645
Choolaimedu,16.36233,77.86339
Chrompet,16.2859,77.64526
Egmore,15.98082,78.26191
Ekkaduthangal,15.64847,77.78738
Ennore,10.91055,77.52851
Foreshore Estate,10.84808,77.06359
Fort St. George,14.03423,77.21661
George Town,13.22998,77.89945
Gopalapuram,13.12349,78.98205
Government Estate,12.02326,78.53868
Guindy,15.01762,78.45979
Gerugambakkam,16.75705,77.32053
IIT Madras,15.40008,78.41759
Injambakkam,16.24947,78.47464
ICF,15.15703,77.14681
Iyyapanthangal,12.57363,78.8802
Jafferkhanpet,11.73606,78.1994
Karapakkam,13.47123,77.09352
Kattivakkam,13.92053,78.10806
Kazhipattur,14.45166,77.34997
K.K. Nagar,10.11631,78.1633
Keelkattalai,16.66828,78.28259
Kilpauk,11.80202,77.88604
Kodambakkam,11.24953,78.25913
Kodungaiyur,15.22828,78.86167
Kolathur,11.42934,78.79165
Korattur,10.32258,78.64773
Korukkupet,14.78434,78.64967
Kottivakkam,15.35018,78.94018
Kotturpuram,13.66919,77.05157
Kottur,14.16007,78.38442
Kovilambakkam,13.18987,77.86017
Koyambedu,14.81862,78.08042
Kundrathur,11.16668,77.88576
Madhavaram,11.30389,77.85866
Madhavaram Milk Colony,12.20348,78.59673
Madipakkam,12.76939,77.28946
Madambakkam,12.72921,77.38939
Maduravoyal,11.81574,78.37463
Manali,10.87547,77.12624
Manali New Town,12.46017,77.87103
Manapakkam,11.03241,78.4178
Mandaveli,12.57078,78.98872
Mangadu,13.26107,77.06879
Mannady,15.71146,78.65757
Mathur,10.72463,78.24873
Medavakkam,12.04264,78.64503
Meenambakkam,14.56413,77.0766
MGR Nagar,12.91626,77.50013
Minjur,10.70786,77.25279
Mogappair,13.79778,78.02613
MKB Nagar,10.6984,77.59524
Mount Road,10.46101,78.74129
Moolakadai,12.93965,78.18256
Moulivakkam,12.8227,78.63107
Mugalivakkam,10.5771,78.84726
Mudichur,13.82795,77.77304
Mylapore,14.0863,78.04088
Nandanam,14.57159,77.85373
Nanganallur,14.66935,78.18195
Neelankarai,15.93714,78.00031
Nemilichery,15.26953,77.40359
Nesapakkam,10.08516,77.49636
Nolambur,14.68651,77.31832
Noombal,15.58421,78.25911
Nungambakkam,16.99137,78.95239
Otteri,16.66659,78.55832
Padi,13.48839,77.86878
Pakkam,10.68845,77.71122
Palavakkam,10.65606,78.94645
Pallavaram,11.21512,78.0426
Pallikaranai,11.30149,77.14603
Pammal,11.33625,78.24191
Park Town,16.71697,78.96633
Parry's Corner,12.75944,78.83423
Pattabiram,11.22471,77.42916
Pattaravakkam,15.74801,78.51799
Pazhavanthangal,12.31799,77.71549
Peerkankaranai,15.35018,78.58086
Perambur,13.66919,78.01796
Peravallur,14.16007,77.5204
Perumbakkam,13.18987,78.82864
Perungalathur,10.6984,77.03734
Perungudi,10.46101,78.72467
Pozhichalur,12.93965,78.66699
Poonamallee,12.8227,77.55051
Porur,10.5771,77.91637
Pudupet,13.82795,78.45789
Pulianthope,14.0863,77.21518
Purasaiwalkam,11.12883,77.4001
Puthagaram,15.46416,77.9888
Puzhal,10.95264,78.4967
Puzhuthivakkam/ Ullagaram,12.50525,77.8046
Raj Bhavan,11.47152,78.7713
Ramavaram,15.13499,78.1145
Red Hills,15.54623,77.9098
Royapettah,11.08435,78.5129
Royapuram,10.99885,78.0315
Saidapet,13.36149,78.0618
Saligramam,12.77381,78.761
Santhome,12.60249,77.5698
Sembakkam,10.53967,78.9813
Selaiyur,13.13104,78.2781
Shenoy Nagar,10.48709,77.2208
Sholavaram,12.58203,78.1881
Sholinganallur,10.82508,78.4816
Sithalapakkam,13.90804,78.2148
Sowcarpet,12.61092,77.8731
St.Thomas Mount,14.60024,77.1884
Tambaram,14.96019,77.5896
Teynampet,14.12526,78.413
Tharamani,15.99199,77.9512
T. Nagar,11.99882,77.6768
Thirumangalam,10.43019,78.6222
Thirumullaivoyal,12.93924,78.865
Thiruneermalai,15.37999,77.1988
Thiruninravur,14.55423,77.6622
Thiruvanmiyur,12.50267,78.3443
Tiruverkadu,10.12587,77.6651
Thiruvotriyur,12.87172,78.6929
Tirusulam,15.95688,78.2458
Tiruvallikeni,15.92579,78.2609
Tondiarpet,16.1678,78.4653
United India Colony,13.67375,77.0992
Vandalur,12.515,78.7626
Vadapalani,13.18479,78.4304
Valasaravakkam,14.71205,78.2123
Vallalar Nagar,16.67115,78.2992
Vanagaram,13.14773,78.5708
Velachery,11.99882,78.4217
Villivakkam,10.43019,78.7995
Virugambakkam,12.93924,77.3053
Vyasarpadi,15.37999,78.5539
Washermanpet,14.55423,78.719
West Mambalam,12.50267,77.6137
