Road Junctions,Latitude,Longitude,Traffic Intensity
Airport Junction,15.88977179,78.21264686,0.2454
Alwarpet Junction,13.27996878,77.67554232,0.1534
Anna Arch Junction - Arumbakkam,13.19023785,78.85456975,0.2929
Anna Arch Junction Aminjikarai,16.80221717,78.44076536,0.5438
Anna Junction,11.33614244,78.26963008,0.5424
Chrompet Junction,13.58287141,77.35069896,0.5137
Conran Smith Road Junction,10.45961901,78.62854647,0.3446
Doveton Junction,14.55380638,77.98810011,0.2466
Dr. Radhakrishnan Road Junction,14.21072944,78.89456106,0.7883
G N Chetty Road Junction,14.86047769,77.37238358,0.3214
IIT Madras Junction,13.68778127,77.15970215,0.6844
Kathipara grade separator,16.26951543,77.91656503,0.9269
Keelkattalai Junction,15.47883226,78.37663373,0.8738
Kilkattalai - Pallavaram Radial Road Junction,14.51253004,77.65374093,0.3669
Koyambedu CMBT Junction,14.21290434,77.29119832,0.0997
Koyambedu grade separator,10.00881712,77.34400229,0.8833
Madhuravoyal grade separator,10.25358262,77.3561813,0.9357
Mahalingapuram Junction,10.72996981,78.92558675,0.5017
Medavakkam Junction,11.94667538,77.25831502,0.3438
Mint Junction,14.54616591,77.09602515,0.962
Moolakkadai Junction,16.92679694,78.75898966,0.2254
Music Academy Junction,11.53778439,77.84451794,0.8319
Padi grade separator,12.39149005,77.99688986,0.4256
Pallavaram Radial Road - GST Junction,13.2474627,78.48234064,0.7093
Panagal Park Junction,10.50945441,78.7681446,0.8204
Pantheon Road Junction,13.55783103,78.32460721,0.1226
Perambur Junction,10.05355151,77.01431753,0.563
Peters Road Junction,13.22985088,78.3865562,0.9606
Porur Junction,14.73959231,77.30626088,0.7777
Tambaram Junction,10.90081305,77.7862407,0.5867
Tambaram Sanitorium (Bharatha Matha Street) Junction,14.62212198,78.45514118,0.0807
Thirumangalam Junction,10.30776627,78.81110646,0.2627
Thiruvanmiyur Junction,14.97518875,77.23341402,0.3244
TTK Road Junction,13.80684761,78.20626572,0.9315
Vadapalani Junction Junction,10.27202403,78.23785877,0.694
Vandalur Junction,11.97485733,78.90151337,0.6942
Velachery Junction Junction,11.99855703,78.96727251,0.6218
Velachery Taramani Road - Kamakshi Hospital Junction,14.26044677,77.7195237,0.0508
Vyasarpadi Junction,16.37544821,77.90826733,0.0183
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
